fecha_hora,consentimiento,edad,genero,vinculo_universidad,ha_donado,frecuencia_donacion,causa_donacion,donaria,monto_donacion,confianza_campana,prob_llegada_recursos,compartiria_campana,razon_donacion,confianza_alcaldias,confianza_gobierno,confianza_ong,confianza_universidades,confianza_religiosa,confianza_empresas,capacidad_institucion,liderazgo_institucion,experiencia_emergencia
9/9/2026 8:24:30,acepto participar,20,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 35,000.00 ",6,60 - 80,tal vez,este caso pasa en mucho en Colombia y es una problematica donde mas se puede ayudar,2,4,5,8,9,10,gobierno nacional,gobierno nacional,no
9/9/2026 8:38:05,acepto participar,20,femenino,estudiante,"si, bienes",ocasional (2-4 veces al ano),desastres,si," $ 40,000.00 ",9,60 - 80,si,"Lo que paso en el terremoto, me toco el corazon mucho y por ende lo hago desde ahi",6,5,7,7,9,10,gobierno nacional,ong,si
9/9/2026 8:40:11,acepto participar,19,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 50,000.00 ",7,60 - 80,tal vez,La gente que lo necesita :),4,5,8,9,6,10,gobierno nacional,alcaldias,no
9/9/2026 8:42:13,acepto participar,22,femenino,estudiante,"si, ambas",rara vez (1 vez al ano),desastres,si," $ 25,000.00 ",8,60 - 80,si,"Creo que como colombianos cada uno debe poner de su parte en lo que pueda, y mas cuando el pais lo requiera",7,6,8,8,8,10,gobierno nacional,gobierno nacional,no
9/9/2026 9:24:48,acepto participar,19,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 40,000.00 ",8,60 - 80,si,ayudar a los damnificados ,9,10,9,10,9,9,gobierno nacional,gobierno nacional,si
9/9/2026 9:36:02,acepto participar,21,masculino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,no, $ -   ,6,60 - 80,tal vez,me falta informacion de la organizacion donante.,7,6,9,10,9,7,universidades,ong,no
9/9/2026 9:37:20,acepto participar,20,masculino,ninguno,"no, ninguna de las anteriores",rara vez (1 vez al ano),salud,si," $ 10,000.00 ",8,80 - 100,si,"La gente que no tiene hogar, necesita mas el tiempo, el dinero y la ayuda de la gente ",0,9,10,8,7,3,gobierno nacional,alcaldias,si
9/9/2026 9:43:31,acepto participar,20,masculino,ninguno,"si, bienes",rara vez (1 vez al ano),emergencias,si," $ 50,000.00 ",5,40 - 60,si,no sabes cuando podria pasarte a ti ,5,5,7,7,9,9,empresas Privadas,ong,no
9/9/2026 9:59:51,acepto participar,20,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 50,000.00 ",5,40 - 60,tal vez,aunque se haya iniciado una campana no se sabe quien la coordina ,4,6,8,8,5,5,gobierno nacional,gobierno nacional,no
9/9/2026 10:20:34,acepto participar,21,femenino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),otra,no, $ -   ,7,40 - 60,tal vez,mucho esfuerzo (dono solo una vez) ,6,8,7,10,9,10,ong,gobierno nacional,no
9/9/2026 10:26:58,acepto participar,24,femenino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,si," $ 35,000.00 ",9,60 - 80,si,Porque las personas lo necesitan y no esta de mas aportar un granito de arena a la causa,1,2,2,3,1,2,ong,universidades,no
9/9/2026 10:35:55,acepto participar,20,femenino,estudiante,"si, tiempo (voluntariado)",frecuente (mensual o mas),educacion,si," $ 10,000.00 ",8,60 - 80,si,razon principal debo trabajar y ganar mis propios ingresos pero puedo donar mi tiempo en especial cuando no estoy ocupada.,6,7,8,9,10,9,ong,gobierno nacional,no
9/9/2026 11:57:56,acepto participar,22,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),educacion,no," $ 2,000.00 ",4,20 - 40,tal vez,deconfianza,7,2,4,7,1,1,gobierno nacional,gobierno nacional,no
9/9/2026 13:23:08,acepto participar,21,femenino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,si," $ 50,000.00 ",8,60 - 80,tal vez,Porque cada aporte puede ayudar asi sea poco,3,3,4,4,4,4,ong,ong,no
9/9/2026 13:24:52,acepto participar,22,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 20,000.00 ",8,60 - 80,si,Por que uno tiene que ayudar al projimo con lo que pueda. aveces compramos cosas que no necesitamos y que podriamos utilizar ese dinero y ayudar a lguien que lo necesite ,7,7,6,8,4,6,empresas Privadas,ong,no
9/9/2026 16:11:14,acepto participar,20,masculino,estudiante,"si, ambas",frecuente (mensual o mas),educacion,si," $ 20,000.00 ",5,40 - 60,tal vez,no se ve confiable,8,8,9,9,4,7,gobierno nacional,gobierno nacional,si
9/9/2026 23:54:35,acepto participar,21,masculino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),desastres,si," $ 50,000.00 ",8,40 - 60,si,es importante ayudar cuando hay un desastre,3,4,6,7,8,8,empresas Privadas,alcaldias,si
10/9/2026 11:33:49,acepto participar,20,masculino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),otra,si," $ 20,000.00 ",7,40 - 60,tal vez,Para ayudar a los que necesitan mas cosas para su supervivencia que a mi me sobran,8,6,9,9,5,5,gobierno nacional,gobierno nacional,no
10/9/2026 11:38:03,acepto participar,20,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 40,000.00 ",10,60 - 80,si,robos,0,0,1,1,1,1,gobierno nacional,gobierno nacional,si
10/9/2026 14:23:11,acepto participar,19,masculino,estudiante,"no, ninguna de las anteriores",rara vez (1 vez al ano),salud,si," $ 20,000.00 ",6,60 - 80,tal vez,"donaria para poder apoyar a personas que no estan pasando sus mejores momentos, hoy son ellos, pero puede que en el futuro sea yo quien necesite la ayuda.",8,8,9,10,5,7,gobierno nacional,gobierno nacional,no
10/9/2026 14:43:28,acepto participar,19,femenino,estudiante,"si, ambas",ocasional (2-4 veces al ano),salud,si," $ 20,000.00 ",7,60 - 80,si,Vocacion ,1,1,3,3,0,3,ong,ong,no
10/9/2026 14:44:18,acepto participar,20,masculino,estudiante,"si, ambas",nunca,desastres,si," $ 50,000.00 ",7,40 - 60,si,Con el fin de ayudar a la gente ,1,1,1,2,0,2,gobierno nacional,gobierno nacional,no
